Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,ISIN,Scheme Code,Alpha Score (4),Sharpe Score (4),Std Dev Score (4),Mean Return Score (4),Beta Score (2),YTM Score (1),Duration Score (1),Credit Score (1),Risk-Adj Perf (Alpha+Sharpe),Volatility & Return (StdDev+MeanRet+Beta),Debt Quality (YTM+Dur+Credit),Total Score (Available),Risk Category,Fund Rating
ABSL Long Duration Dir,commodity,Commodities: Gold,Direct,1.87,6.63,,Debt: Long Duration,1.75,6.19,,,,0.02,3.73,5.94,7.8,10.33,AAA,27.64,0,https://www.valueresearchonline.com/funds/42338/,INF209KB17J2,150484,,2,4,1,,1,0,0.5,2,5,1.5,8.5,Moderate Risk,Average
Axis Long Duration Dir,commodity,Commodities: Gold,Direct,1.59,6.05,,Debt: Long Duration,1.75,6.19,,,,-0.15,4.88,5.15,7.72,11.72,AAA,,0,https://www.valueresearchonline.com/funds/42912/,INF846K014L3,151179,,1,4,1,,1,0,0.5,1,5,1.5,7.5,Moderate Risk,Average
Bandhan Long Duration Dir,commodity,Commodities: Gold,Direct,2.82,,,Debt: Long Duration,1.75,,,,,,,,7.55,10.82,AAA,26.3,0,https://www.valueresearchonline.com/funds/44184/,INF194KB1HY2,152520,,,,,,1,0,0.5,,,1.5,1.5,Moderate Risk,Average
Franklin India Long Duration Fund Dir,commodity,Commodities: Gold,Direct,3.51,,,Debt: Long Duration,1.75,,,,,,,,6.66,4.38,GOI/Cash,8.95,0,https://www.valueresearchonline.com/funds/44764/,INF090I01XY7,153102,,,,,,0.5,1,1,,,2.5,2.5,Moderate Risk,Good
HDFC Long Duration Debt Dir,commodity,Commodities: Gold,Direct,1.53,6.13,,Debt: Long Duration,1.75,6.19,,,,-0.15,5.1,5.13,7.74,11.7,AAA,28.91,0,https://www.valueresearchonline.com/funds/43050/,INF179KC1ET7,151313,,1,4,1,,1,0,0.5,1,5,1.5,7.5,Moderate Risk,Average
ICICI Pru Long Term Bond Dir,commodity,Commodities: Gold,Direct,1.86,6.57,5.54,Debt: Long Duration,1.75,6.19,5.71,,,0.02,3.7,5.93,7.89,11.41,AAA,29.18,0,https://www.valueresearchonline.com/funds/15957/,INF109K017L8,120743,,2,4,1,,1,0,0.5,2,5,1.5,8.5,Moderate Risk,Average
Kotak Long Duration Dir,commodity,Commodities: Gold,Direct,0.62,,,Debt: Long Duration,1.75,,,,,,,,7.65,12.95,AAA,13.24,0,https://www.valueresearchonline.com/funds/44192/,INF174KA1RF5,152491,,,,,,1,0,0.5,,,1.5,1.5,Moderate Risk,Average
Mirae Asset Long Duration Dir,commodity,Commodities: Gold,Direct,1.46,,,Debt: Long Duration,1.75,,,,,,,,7.53,11.11,AAA,25.67,0,https://www.valueresearchonline.com/funds/44752/,INF769K01NC9,153105,,,,,,1,0,0.5,,,1.5,1.5,Moderate Risk,Average
Nippon India Nivesh Lakshya Long Duration Dir,commodity,Commodities: Gold,Direct,0.88,6.02,5.88,Debt: Long Duration,1.75,6.19,5.71,,,-0.15,4.17,5.24,7.67,10.61,AAA,21.61,0,https://www.valueresearchonline.com/funds/36522/,INF204KB1YQ1,143704,,1,4,1,,1,0,0.5,1,5,1.5,7.5,Moderate Risk,Average
SBI Long Duration Dir,commodity,Commodities: Gold,Direct,1.81,6.25,,Debt: Long Duration,1.75,6.19,,,,-0.1,4.7,5.4,7.54,10.83,GOI/Cash,,0,https://www.valueresearchonline.com/funds/42950/,INF200KA16T4,151214,,1,4,1,,1,0,1,1,5,2,8,Moderate Risk,Average
UTI Long Duration Dir,commodity,Commodities: Gold,Direct,1.33,5.7,,Debt: Long Duration,1.75,6.19,,,,-0.17,4.79,5.03,7.33,8.15,GOI/Cash,19.69,0,https://www.valueresearchonline.com/funds/43279/,INF789F1AYB5,151523,,1,4,1,,0.5,0,1,1,5,1.5,7.5,Moderate Risk,Average
360 ONE Flexicap Dir,commodity,Commodities: Silver,Direct,6.5,,,BSE 500 TRI,1.84,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43547/,INF579M01AS1,151796,,,,,,,,,,,,,Moderately High Risk,
360 ONE Focused Dir,commodity,Commodities: Silver,Direct,4.01,13.71,13.99,BSE 500 TRI,1.84,13.36,12.53,0.8,0.92,0.56,14.61,14,,,,,25,https://www.valueresearchonline.com/funds/28458/,INF579M01902,131580,2,2,2,3,1,,,,4,6,,10,Moderately High Risk,Average
Abakkus Flexi Cap Dir,commodity,Commodities: Silver,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45683/,INF2JJD01136,154043,,,,,,,,,,,,,Moderately High Risk,
ABSL Bal Bhavishya Yojna Dir,commodity,Commodities: Silver,Direct,5.27,13.57,10.89,BSE 500 TRI,1.84,13.36,12.53,0.92,0.97,0.56,15.43,14.57,,,,,25,https://www.valueresearchonline.com/funds/38821/,INF209KB1E84,146407,2,2,1,3,1,,,,4,5,,9,Moderately High Risk,Average
ABSL BSE 500 Momentum 50 Index Fund Dir,commodity,Commodities: Silver,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45377/,INF209KC1589,153736,,,,,,,,,,,,,Moderately High Risk,
ABSL BSE 500 Quality 50 Index Dir,commodity,Commodities: Silver,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45381/,INF209KC1613,153740,,,,,,,,,,,,,Moderately High Risk,
ABSL Flexi Cap Dir,commodity,Commodities: Silver,Direct,7.23,17.05,13.62,BSE 500 TRI,1.84,13.36,12.53,3.66,0.95,0.76,14.78,17.13,,,,,25,https://www.valueresearchonline.com/funds/15741/,INF209K01XX1,120564,3,2,2,3,1,,,,5,6,,11,Moderately High Risk,Average
