Fund Name,Category,Subcategory,Plan,isin,scheme_code,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),ytm_score,duration_score,maturity_score,credit_score,total_score,fund_rating,Top Holdings Count,Fund URL
ABSL Banking & PSU Debt Dir,debt,Banking and PSU,Direct,INF209K01YN0,119550,4.75,7.19,6.33,Debt: Banking and PSU,4.99,7.17,6.28,7.73,2.73,AAA,3.8,8,6,6,9,29,Good,25,https://www.valueresearchonline.com/funds/15941/
Axis Banking & PSU Debt Dir,debt,Banking and PSU,Direct,INF846K01CR6,120438,5.15,7.12,6.2,Debt: Banking and PSU,4.99,7.17,6.28,7.68,2.19,AAA,2.73,7,6,7,9,29,Good,25,https://www.valueresearchonline.com/funds/15680/
Bajaj Finserv Banking and PSU Dir,debt,Banking and PSU,Direct,INF0QA701607,152162,4.65,,,Debt: Banking and PSU,4.99,,,7.76,2.55,AAA,2.93,7,6,7,9,29,Good,20,https://www.valueresearchonline.com/funds/43851/
Bandhan Banking and PSU Dir,debt,Banking and PSU,Direct,INF194K015G8,121279,5.52,7.16,6.25,Debt: Banking and PSU,4.99,7.17,6.28,7.57,2.32,AAA,2.53,7,6,6,9,28,Good,25,https://www.valueresearchonline.com/funds/18448/
Canara Robeco Banking and PSU Debt Dir,debt,Banking and PSU,Direct,INF760K01KC4,150505,4.88,6.75,,Debt: Banking and PSU,4.99,7.17,,7.48,2.7,AAA,3.18,7,6,6,9,28,Good,18,https://www.valueresearchonline.com/funds/42432/
DSP Banking & PSU Debt Dir,debt,Banking and PSU,Direct,INF740K01ZW2,124175,4.3,7.04,6.07,Debt: Banking and PSU,4.99,7.17,6.28,7.52,4.28,AAA,7.11,8,4,4,9,25,Average,25,https://www.valueresearchonline.com/funds/21204/
Edelweiss Banking and PSU Debt Dir,debt,Banking and PSU,Direct,INF843K01FC8,140286,4.16,6.9,6.16,Debt: Banking and PSU,4.99,7.17,6.28,7.57,1.38,AAA,1.46,7,6,7,9,29,Good,25,https://www.valueresearchonline.com/funds/21020/
Franklin India Banking & PSU Debt Dir,debt,Banking and PSU,Direct,INF090I01KR8,129008,6.01,7.43,6.37,Debt: Banking and PSU,4.99,7.17,6.28,7.5,1.28,AAA,2.62,7,7,6,9,29,Good,25,https://www.valueresearchonline.com/funds/26029/
HDFC Banking and PSU Debt Dir,debt,Banking and PSU,Direct,INF179KA1IZ7,128629,5.03,7.32,6.36,Debt: Banking and PSU,4.99,7.17,6.28,7.78,3.21,AAA,4.09,8,5,6,9,28,Good,25,https://www.valueresearchonline.com/funds/25440/
HSBC Banking & PSU Debt Dir,debt,Banking and PSU,Direct,INF917K01HH5,151107,5.12,7.05,5.73,Debt: Banking and PSU,4.99,7.17,6.28,7.69,2.49,AAA,2.86,7,6,7,9,29,Good,25,https://www.valueresearchonline.com/funds/16783/
