Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),Sortino (%),ISIN,Scheme Code,Top Holdings Count,Fund URL,Alpha Score (12),Sharpe Score (12),StdDev Score (6),Beta Score (6),Sortino Score (4),Total Score (40),Risk Category,Fund Rating
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Direct,-1.7,9.53,,BSE 500 TRI,1.14,13.21,,-3.02,0.86,0.28,13.72,9.76,1.1,INF579M01AN2,151165,25,https://www.valueresearchonline.com/funds/42908/,2,4,4,4,2,16,Moderately High Risk,Average
ABSL ELSS Tax Saver Dir,equity,equity,Direct,3.47,14.07,9.81,BSE 500 TRI,1.14,13.21,12.36,1.02,0.94,0.58,14.66,14.4,1.32,INF209K01UN8,119544,25,https://www.valueresearchonline.com/funds/15889/,8,6,3,4,2,23,Moderate Risk,Average
Axis ELSS Tax Saver Dir,equity,equity,Direct,0.68,10.78,8.39,BSE 500 TRI,1.14,13.21,12.36,-1.23,0.9,0.41,14.64,11.84,1.43,INF846K01EW2,120503,25,https://www.valueresearchonline.com/funds/15688/,4,4,3,4,2,17,Moderately High Risk,Average
Bajaj Finserv ELSS Tax Saver Dir,equity,equity,Direct,5.35,,,BSE 500 TRI,1.14,,,,,,,,,INF0QA701AK0,153201,25,https://www.valueresearchonline.com/funds/44856/,1,1,1,1,1,5,High Risk,Poor
Bandhan ELSS Tax Saver Dir,equity,equity,Direct,3.26,12.98,14.13,BSE 500 TRI,1.14,13.21,12.36,0.24,0.9,0.53,13.98,13.26,1.32,INF194K01Y29,118473,25,https://www.valueresearchonline.com/funds/16493/,8,6,4,4,2,24,Moderate Risk,Average
Bank of Ind Midcap Tax 2 Dir,equity,equity,Direct,4.25,15.2,13.26,BSE 500 TRI,1.14,13.21,12.36,1.55,1.13,0.57,18.58,16.45,1.01,INF761K01EL6,144315,25,https://www.valueresearchonline.com/funds/36922/,8,6,1,3,2,20,Moderate Risk,Average
Bank of India ELSS Tax Saver Fund Dir,equity,equity,Direct,5.67,16.75,14.89,BSE 500 TRI,1.14,13.21,12.36,2.6,1.08,0.63,17.96,17.1,1.13,INF761K01884,119351,25,https://www.valueresearchonline.com/funds/16803/,10,6,2,3,2,23,Moderate Risk,Average
Bank of India Midcap Tax Sr 1 Dir,equity,equity,Direct,9.57,16.55,14.68,BSE 500 TRI,1.14,13.21,12.36,2.61,1.15,0.61,19.23,17.67,0.99,INF761K01DS3,141950,25,https://www.valueresearchonline.com/funds/34774/,10,6,1,3,1,21,Moderate Risk,Average
Baroda BNP Paribas ELSS Tax Saver Dir,equity,equity,Direct,6.02,17.45,14.45,BSE 500 TRI,1.14,13.21,12.36,4.14,0.96,0.77,15.4,17.69,1.48,INF251K01HF3,150159,25,https://www.valueresearchonline.com/funds/15732/,12,8,3,4,2,29,Low Risk,Good
Canara Robeco ELSS Tax Saver Dir,equity,equity,Direct,3.22,13.85,12.87,BSE 500 TRI,1.14,13.21,12.36,0.61,0.94,0.56,14.65,14,1.24,INF760K01EL8,118285,25,https://www.valueresearchonline.com/funds/16594/,8,6,3,4,2,23,Moderate Risk,Average
DSP ELSS Tax Saver Dir,equity,equity,Direct,1.22,17.38,14.91,BSE 500 TRI,1.14,13.21,12.36,3.33,0.99,0.72,15.71,17.14,1.86,INF740K01OK1,119242,25,https://www.valueresearchonline.com/funds/16454/,10,6,3,4,3,26,Moderate Risk,Average
Edelweiss ELSS Tax Saver Dir,equity,equity,Direct,5.95,15.72,14.54,BSE 500 TRI,1.14,13.21,12.36,2.37,0.99,0.67,15.48,16.16,1.3,INF754K01CA8,118620,25,https://www.valueresearchonline.com/funds/17762/,10,6,3,4,2,25,Moderate Risk,Average
Franklin India ELSS Tax Saver Dir,equity,equity,Direct,-2.84,14.85,13.96,BSE 500 TRI,1.14,13.21,12.36,1.69,0.93,0.62,14.59,14.98,1.5,INF090I01JS8,118540,25,https://www.valueresearchonline.com/funds/16014/,8,6,3,4,3,24,Moderate Risk,Average
Groww ELSS Tax Saver Dir,equity,equity,Direct,-2.61,11.73,10.85,BSE 500 TRI,1.14,13.21,12.36,-1.33,0.97,0.41,15.65,12.3,0.97,INF0J8L01115,151611,25,https://www.valueresearchonline.com/funds/34683/,4,4,3,4,1,16,Moderately High Risk,Average
HDFC ELSS Tax Saver Dir,equity,equity,Direct,-1.9,16.29,17.15,BSE 500 TRI,1.14,13.21,12.36,3.57,0.86,0.76,13.76,16.34,2.21,INF179K01YS4,119060,25,https://www.valueresearchonline.com/funds/16160/,10,8,4,4,4,30,Low Risk,Good
HSBC ELSS Tax Saver Dir,equity,equity,Direct,5.65,17.83,14.91,BSE 500 TRI,1.14,13.21,12.36,3.76,1.01,0.72,16.45,17.73,1.23,INF917K01GP0,151078,25,https://www.valueresearchonline.com/funds/16200/,10,6,2,3,2,23,Moderate Risk,Average
ICICI Pru ELSS Tax Saver Dir,equity,equity,Direct,1.49,13.59,13.04,BSE 500 TRI,1.14,13.21,12.36,0.77,0.88,0.56,14.01,13.67,1.47,INF109K01Y31,120592,25,https://www.valueresearchonline.com/funds/15862/,8,6,3,4,2,23,Moderate Risk,Average
ICICI Pru Long Term Wealth Enhancement Dir,equity,equity,Direct,1.4,15.26,15.29,BSE 500 TRI,1.14,13.21,12.36,2.18,0.87,0.64,14.19,14.96,1.46,INF109KC1101,142133,25,https://www.valueresearchonline.com/funds/34952/,10,6,3,4,2,25,Moderate Risk,Average
ITI ELSS Tax Saver Dir,equity,equity,Direct,3.86,19.19,13.86,BSE 500 TRI,1.14,13.21,12.36,3.71,1.22,0.68,19.96,19.35,1.19,INF00XX01390,147541,25,https://www.valueresearchonline.com/funds/40137/,10,6,1,2,2,21,Moderate Risk,Average
Invesco India ELSS Tax Saver Dir,equity,equity,Direct,-2.22,13.72,11.71,BSE 500 TRI,1.14,13.21,12.36,0.26,1.03,0.52,16.53,14.39,1.06,INF205K01NT8,120416,25,https://www.valueresearchonline.com/funds/16849/,8,6,2,3,2,21,Moderate Risk,Average
JM ELSS Tax Saver Dir,equity,equity,Direct,5.91,17.15,16.1,BSE 500 TRI,1.14,13.21,12.36,3.5,1.04,0.7,16.98,17.7,1.35,INF192K01CE3,120494,25,https://www.valueresearchonline.com/funds/16552/,10,6,2,3,2,23,Moderate Risk,Average
Kotak ELSS Tax Saver Dir,equity,equity,Direct,1.86,13.54,13.83,BSE 500 TRI,1.14,13.21,12.36,0.1,0.97,0.51,15.39,13.68,1.11,INF174K01LI3,119773,25,https://www.valueresearchonline.com/funds/16380/,8,6,3,4,2,23,Moderate Risk,Average
LIC MF ELSS Tax Saver Dir,equity,equity,Direct,-3.68,11.44,12.02,BSE 500 TRI,1.14,13.21,12.36,-1.5,0.92,0.4,14.92,11.76,1.19,INF767K01EM1,120270,25,https://www.valueresearchonline.com/funds/16868/,4,4,3,4,2,17,Moderately High Risk,Average
Mahindra Manulife ELSS Tax Saver Dir,equity,equity,Direct,-2.31,11.22,12.44,BSE 500 TRI,1.14,13.21,12.36,-1.23,0.91,0.42,14.23,11.9,1.26,INF174V01093,139781,25,https://www.valueresearchonline.com/funds/32895/,4,4,3,4,2,17,Moderately High Risk,Average
Mirae Asset ELSS Tax Saver Dir,equity,equity,Direct,4.67,15.58,13.6,BSE 500 TRI,1.14,13.21,12.36,1.75,1,0.63,15.59,15.63,1.38,INF769K01DM9,135781,25,https://www.valueresearchonline.com/funds/31318/,8,6,3,4,2,23,Moderate Risk,Average
Motilal Oswal ELSS Tax Saver Dir,equity,equity,Direct,8.61,23.57,19.53,BSE 500 TRI,1.14,13.21,12.36,8.8,1.16,0.84,21.38,23.93,0.98,INF247L01569,133386,25,https://www.valueresearchonline.com/funds/29162/,12,8,1,2,1,24,Moderate Risk,Average
NJ ELSS Tax Saver Dir,equity,equity,Direct,-1.62,,,BSE 500 TRI,1.14,,,,,,,,,INF0J8L01115,151611,25,https://www.valueresearchonline.com/funds/43365/,1,1,1,1,1,5,High Risk,Poor
Navi ELSS Tax Saver Dir,equity,equity,Direct,,,,,,,,,,,,,1.02,INF959L01CD5,135654,0,https://www.valueresearchonline.com/funds/31265/,1,1,1,1,2,6,High Risk,Poor
Navi ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Direct,-1.78,9.57,,BSE 500 TRI,1.14,13.21,,-3.02,0.87,0.29,13.79,9.8,,INF959L01GR6,151471,25,https://www.valueresearchonline.com/funds/43191/,2,4,4,4,1,15,Moderately High Risk,Average
Nippon India ELSS Tax Saver Dir,equity,equity,Direct,4.53,16.37,15.21,BSE 500 TRI,1.14,13.21,12.36,3.2,0.98,0.72,15.29,16.88,1.43,INF204K01L55,118803,25,https://www.valueresearchonline.com/funds/16186/,10,6,3,4,2,25,Moderate Risk,Average
PGIM India ELSS Tax Saver Dir,equity,equity,Direct,-0.1,10.37,11.95,BSE 500 TRI,1.14,13.21,12.36,-3.01,0.92,0.3,14.79,10.24,0.9,INF663L01FN5,135601,25,https://www.valueresearchonline.com/funds/31167/,2,4,3,4,1,14,Moderately High Risk,Average
Parag Parikh ELSS Tax Saver Dir,equity,equity,Direct,-6.49,12.67,14.47,BSE 500 TRI,1.14,13.21,12.36,0.74,0.7,0.56,11.44,12.22,1.66,INF879O01100,147481,25,https://www.valueresearchonline.com/funds/40105/,8,6,5,6,3,28,Low Risk,Good
Quant ELSS Tax Saver Dir,equity,equity,Direct,13.49,18.35,17.61,BSE 500 TRI,1.14,13.21,12.36,4.88,1.12,0.74,18.53,19.66,1.38,INF966L01986,120847,25,https://www.valueresearchonline.com/funds/17381/,12,6,1,3,2,24,Moderate Risk,Average
Quantum ELSS Tax Saver Dir,equity,equity,Direct,-3.39,14.09,11.82,BSE 500 TRI,1.14,13.21,12.36,1.28,0.85,0.6,13.6,13.97,1.67,INF082J01069,111549,25,https://www.valueresearchonline.com/funds/10080/,8,6,4,5,3,26,Moderate Risk,Average
SBI ELSS Tax Saver Dir,equity,equity,Direct,1.04,18.88,17.63,BSE 500 TRI,1.14,13.21,12.36,5.56,0.98,0.86,15.66,19.29,2.07,INF200K01UM9,119723,25,https://www.valueresearchonline.com/funds/16244/,12,8,3,4,4,31,Low Risk,Good
SBI Long Term Advantage Sr IV Dir,equity,equity,Direct,3.33,11.68,15.01,BSE 500 TRI,1.14,13.21,12.36,-0.04,0.91,0.45,15.98,13.1,1.45,INF200KA1LS9,140487,25,https://www.valueresearchonline.com/funds/33323/,4,4,3,4,2,17,Moderately High Risk,Average
SBI Long Term Advantage Sr V Dir,equity,equity,Direct,2.55,21.03,17.48,BSE 500 TRI,1.14,13.21,12.36,5.87,0.97,0.83,16.3,19.47,1.93,INF200KA1RW8,142138,25,https://www.valueresearchonline.com/funds/34960/,12,8,2,4,3,29,Low Risk,Good
SBI Long Term Advantage Sr VI Dir,equity,equity,Direct,1.12,14.77,14.71,BSE 500 TRI,1.14,13.21,12.36,0.62,1.1,0.52,18.04,15.25,1.16,INF200KA1TO1,143178,25,https://www.valueresearchonline.com/funds/35971/,8,6,1,3,2,20,Moderate Risk,Average
Samco ELSS Tax Saver Dir,equity,equity,Direct,-4.21,7.09,,BSE 500 TRI,1.14,13.21,,-5.86,1.09,0.15,19.57,8.71,0.26,INF0K1H01065,150838,25,https://www.valueresearchonline.com/funds/42760/,2,4,1,3,1,11,High Risk,Poor
Shriram ELSS Tax Saver Dir,equity,equity,Direct,1.69,10.15,10.09,BSE 500 TRI,1.14,13.21,12.36,-2.88,1,0.3,16.87,10.99,0.62,INF680P01158,145819,25,https://www.valueresearchonline.com/funds/38439/,2,4,2,4,1,13,Moderately High Risk,Average
Sundaram ELSS Tax Saver Dir,equity,equity,Direct,-0.89,11.76,12.05,BSE 500 TRI,1.14,13.21,12.36,-0.76,0.92,0.45,14.45,12.43,1.32,INF173K01HZ7,149570,25,https://www.valueresearchonline.com/funds/16650/,4,4,3,4,2,17,Moderately High Risk,Average
Sundaram Long Term Micro Cap Tax Advantage III Dir,equity,equity,Direct,10,16.65,19.91,BSE 500 TRI,1.14,13.21,12.36,2.66,1.08,0.58,19.59,17.19,1.1,INF903JA1443,139711,25,https://www.valueresearchonline.com/funds/32783/,10,6,1,3,2,22,Moderate Risk,Average
Sundaram Long Term Micro Cap Tax Advantage IV Dir,equity,equity,Direct,10.06,16.8,20.18,BSE 500 TRI,1.14,13.21,12.36,2.84,1.07,0.59,19.37,17.28,1.16,INF903JA1526,139990,25,https://www.valueresearchonline.com/funds/33066/,10,6,1,3,2,22,Moderate Risk,Average
Sundaram Long Term Micro Cap Tax Advantage V Dir,equity,equity,Direct,10.27,17.4,19.64,BSE 500 TRI,1.14,13.21,12.36,3.43,1.08,0.62,19.46,17.93,1.17,INF903JA1955,141141,25,https://www.valueresearchonline.com/funds/34226/,10,6,1,3,2,22,Moderate Risk,Average
Sundaram Long Term Micro Cap Tax Advantage VI Dir,equity,equity,Direct,8.9,16.82,20.07,BSE 500 TRI,1.14,13.21,12.36,2.92,1.07,0.59,19.38,17.36,1.16,INF903JA1AZ0,141564,25,https://www.valueresearchonline.com/funds/34431/,10,6,1,3,2,22,Moderate Risk,Average
Sundaram Long Term Tax Advantage III Dir,equity,equity,Direct,12.79,17.61,20.76,BSE 500 TRI,1.14,13.21,12.36,3.67,1.05,0.64,18.77,17.94,1.26,INF903J011W9,135682,25,https://www.valueresearchonline.com/funds/35008/,10,6,1,3,2,22,Moderate Risk,Average
Sundaram Long Term Tax Advantage IV Dir,equity,equity,Direct,13.52,17.93,20.87,BSE 500 TRI,1.14,13.21,12.36,3.92,1.04,0.66,18.54,18.11,1.32,INF903JA1CZ6,143079,25,https://www.valueresearchonline.com/funds/35873/,10,6,1,3,2,22,Moderate Risk,Average
Tata ELSS Dir,equity,equity,Direct,6.85,15.59,14.8,BSE 500 TRI,1.14,13.21,12.36,2.17,1,0.64,15.83,16.07,1.33,INF277K01I86,132756,25,https://www.valueresearchonline.com/funds/16739/,10,6,3,4,2,25,Moderate Risk,Average
Taurus ELSS Tax Saver Dir,equity,equity,Direct,-4.38,11.97,11.78,BSE 500 TRI,1.14,13.21,12.36,-0.34,0.88,0.46,14.49,12.58,1.19,INF044D01CG6,118866,25,https://www.valueresearchonline.com/funds/16713/,4,4,3,4,2,17,Moderately High Risk,Average
UTI ELSS Tax Saver Dir,equity,equity,Direct,-0.96,11.31,10.69,BSE 500 TRI,1.14,13.21,12.36,-1.72,0.96,0.39,15.04,11.78,1.07,INF789F01TF7,120715,25,https://www.valueresearchonline.com/funds/15723/,4,4,3,4,2,17,Moderately High Risk,Average
Union ELSS Tax Saver Dir,equity,equity,Direct,2.86,13.11,13.23,BSE 500 TRI,1.14,13.21,12.36,0.21,0.93,0.52,14.63,13.49,1.18,INF582M01765,119307,25,https://www.valueresearchonline.com/funds/16436/,8,6,3,4,2,23,Moderate Risk,Average
