Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,ISIN,Scheme Code,Alpha Score(4),Sharpe Score(4),Sortino Score(4),Risk-Adj Perf(12),StdDev Score(4),MeanRet Score(4),Beta Score(2),Vol & Return(10),NumStocks Score(2),Top10 Score(2),Top5 Score(2),Top3Sec Score(2),Diversification(8),PE Score(3),PB Score(3),Valuation(6),YTM Score(1),Duration Score(1),Maturity Score(1),Credit Score(1),Debt Quality(4),Total Score(40),Risk Category,Fund Rating
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,3.24,13.6,,BSE 500 TRI,1.84,13.36,,-0.76,0.96,0.8,12.42,15.98,,,,,25,https://www.valueresearchonline.com/funds/41814/,,,,,,,,,,,,,,,,,,,,,,,,,,
",INF209KB14D2,149295,1,2,2,5,2,3,1,6,1.5,1.5,1.5,1,5.5,1.5,1.5,3,0,0,0,0,0,19.5,Moderately High Risk,Average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,Direct,3.47,15.23,,BSE 500 TRI,1.84,13.36,,1.81,0.98,0.99,12.84,18.77,,,,,25,https://www.valueresearchonline.com/funds/43124/,,,,,,,,,,,,,,,,,,,,,,,,,,
",INF846K016N4,151368,2,2,2,6,2,4,1,7,1.5,1.5,1.5,1,5.5,1.5,1.5,3,0,0,0,0,0,21.5,Moderate Risk,Average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandhan Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,0.13,,,BSE 500 TRI,1.84,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44520/,,,,,,,,,,,,,,,,,,,,,,,,,,
",INF194KB1IQ6,152878,1,1,1,3,1,1,1,3,2,1.5,1.5,1,6,2,2,4,0,0,0,0,0,16,Moderately High Risk,Average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of India Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,4.92,,,BSE 500 TRI,1.84,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44474/,,,,,,,,,,,,,,,,,,,,,,,,,,
",INF761K01GF3,152789,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1.5,6,1.5,1.5,3,0,0,0,0,0,15,Moderately High Risk,Average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baroda BNP Paribas Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,3.95,15.67,,BSE 500 TRI,1.84,13.36,,0.69,1.04,0.9,13.54,18.27,,,,,25,https://www.valueresearchonline.com/funds/41671/,,,,,,,,,,,,,,,,,,,,,,,,,,
",INF955L01KK1,149141,2,2,2,6,2,4,1,7,1.5,1.5,1.5,1,5.5,1.5,1.5,3,0,0,0,0,0,21.5,Moderate Risk,Average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
