Fund Name,ISIN,Scheme Code,Category,Subcategory,Holdings Type,Company Name,Sector,P/E Ratio,Instrument,Credit Rating,% of Assets
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,ICICI Bank,Financial,17.81,,,3.94
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,SBI,Financial,11.45,,,3.67
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,The Federal Bank,Financial,18.29,,,3.06
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,Muthoot Finance,Financial,11.79,,,2.85
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,Jindal Steel,Materials,34.44,,,2.28
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,Karur Vysya Bank,Financial,11.19,,,2.27
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,R R Kabel,Industrials,52.19,,,2.18
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,SJS Enterprises,Consumer Discretionary,41.53,,,2.14
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,Bharat Forge,Consumer Discretionary,89.86,,,2.04
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,Shivalik Bimetal,Industrials,45.53,,,1.96
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,Ajanta Pharma,Healthcare,36.29,,,1.89
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,Lenskart Solutions,Consumer Discretionary,180,,,1.87
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,Sona BLW Precision,Consumer Discretionary,59.71,,,1.71
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,FSN E-Commerce,Consumer Discretionary,433.58,,,1.71
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,Marico,Consumer Staples,60.74,,,1.71
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,Sai Life Sciences,Healthcare,74.65,,,1.69
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,Maharashtra Bank,Financial,9.78,,,1.69
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,Happy Forgings,Materials,45.76,,,1.65
ABSL Business Cycle Dir,INF209KB14D2,149295,solution-oriented,Solution: Retirement - Equity,Equity,Adani Power,Energy & Utilities,34.75,,,1.62
