Category,Sub Category,Scheme Name
Equity Scheme,Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth
Equity Scheme,Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW
Equity Scheme,Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund -Direct - IDCW
Equity Scheme,Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund - Growth - Direct Plan
Debt Scheme,Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW
Debt Scheme,Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Growth - Regular Plan
Debt Scheme,Medium to Long Duration Fund,Birla Income Plus-Institutional (Growth)
Debt Scheme,Medium to Long Duration Fund,Birla Income Plus-Institutional (Dividend)
Debt Scheme,Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund (Discipline Advantage Plan)
Debt Scheme,Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Direct - Quarterly IDCW
Debt Scheme,Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Growth - Direct Plan
Debt Scheme,Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Regular - IDCW
Debt Scheme,Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Direct - IDCW
Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW
Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth)
Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth)
Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund -Retail - IDCW
Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund -Daily IDCW
Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund - Growth
Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund- Discipline Advantage Plan
Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan
Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW
Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW
Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund -DIRECT - IDCW
Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW
Debt Scheme,Liquid Fund,Birla Cash Plus-Birla Cash Plus (Institutional Premium Weekly Dividend)
Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund -weekly IDCW
Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund -Regular - IDCW
Debt Scheme,Gilt Fund,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW
Debt Scheme,Gilt Fund,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan
Debt Scheme,Gilt Fund,Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan
Debt Scheme,Gilt Fund,Aditya Birla Sun Life Govenment Securities Fund -DIRECT - Quarterly IDCW
Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund - Regular - IDCW
Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan
Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund - Growth - Direct Plan
Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund - DIRECT - IDCW
Debt Scheme,Medium Duration Fund,DSP Bond Fund - IDCW
Debt Scheme,Medium Duration Fund,DSP Bond Fund - Growth
Debt Scheme,Medium Duration Fund,DSP Bond Fund - IDCW - Monthly
Debt Scheme,Medium Duration Fund,DSP Bond Fund - Direct Plan - IDCW - Monthly
Debt Scheme,Medium Duration Fund,DSP Bond Fund - Direct Plan - IDCW
Debt Scheme,Medium Duration Fund,DSP Bond Fund - Direct Plan - Growth
Equity Scheme,Flexi Cap Fund,DSP Flexi Cap Fund - Regular Plan - IDCW
Equity Scheme,Flexi Cap Fund,DSP Flexi Cap Fund - Regular Plan - Growth
Equity Scheme,Flexi Cap Fund,DSP Flexi Cap Fund - Direct Plan - Growth
Equity Scheme,Flexi Cap Fund,DSP Flexi Cap Fund - Direct Plan - IDCW
