Sr. No.,Company name,ISIN,BSE Symbol, BSE 6 month Avg Total Market Cap in (Rs. Crs.) ,NSE Symbol, NSE 6 month Avg Total Market Cap (Rs. Crs.) ,MSEI Symbol, MSEI 6 month Avg Total Market Cap in (Rs Crs.) ,Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
1,Reliance Industries Ltd,INE002A01018,RELIANCE,"  1,970,806.49 ",RELIANCE,"  1,970,787.69 ",-, - ,"  1,970,797.09 ",Large Cap
2,HDFC Bank Ltd.,INE040A01034,HDFCBANK,"  1,516,760.98 ",HDFCBANK,"  1,515,580.90 ",-, - ,"  1,516,170.94 ",Large Cap
3,Bharti Airtel  Ltd.,INE397D01024,BHARTIARTL,"  1,195,614.68 ",BHARTIARTL,"  1,195,675.69 ",-, - ,"  1,195,645.18 ",Large Cap
4,Tata Consultancy Services Ltd.,INE467B01029,TCS,"  1,129,582.00 ",TCS,"  1,129,555.15 ",-, - ,"  1,129,568.57 ",Large Cap
5,ICICI Bank Ltd.,INE090A01021,ICICIBANK,"  999,123.08 ",ICICIBANK,"  998,630.64 ",-, - ,"  998,876.86 ",Large Cap
6,State Bank Of India,INE062A01020,SBIN,"  809,938.33 ",SBIN,"  800,557.85 ",-, - ,"  805,248.09 ",Large Cap
7,Infosys Ltd,INE009A01021,INFY,"  635,239.14 ",INFY,"  635,103.55 ",-, - ,"  635,171.35 ",Large Cap
8,Bajaj Finance Limited,INE296A01032,BAJFINANCE,"  608,134.07 ",BAJFINANCE,"  607,992.94 ",-, - ,"  608,063.50 ",Large Cap
9,Life Insurance Corporation of India,INE0J1Y01017,LICI,"  565,211.08 ",LICI,"  565,259.02 ",-, - ,"  565,235.05 ",Large Cap
10,Hindustan Unilever Ltd.,INE030A01027,HINDUNILVR,"  538,817.41 ",HINDUNILVR,"  538,863.09 ",-, - ,"  538,840.25 ",Large Cap
11,Larsen & Toubro Limited,INE018A01030,LT,"  518,705.11 ",LT,"  518,763.28 ",-, - ,"  518,734.19 ",Large Cap
12,ITC Ltd,INE154A01025,ITC,"  511,810.19 ",ITC,"  511,626.19 ",-, - ,"  511,718.19 ",Large Cap
13,Maruti Suzuki India  Ltd.,INE585B01010,MARUTI,"  470,436.83 ",MARUTI,"  470,458.29 ",-, - ,"  470,447.56 ",Large Cap
14,Mahindra & Mahindra Ltd.,INE101A01026,M&M,"  431,855.41 ",M&M,"  431,885.95 ",-, - ,"  431,870.68 ",Large Cap
15,HCL Technologies Ltd,INE860A01027,HCLTECH,"  418,792.29 ",HCLTECH,"  418,769.14 ",-, - ,"  418,780.71 ",Large Cap
16,Kotak Mahindra Bank Ltd.,INE237A01028,KOTAKBANK,"  415,421.99 ",KOTAKBANK,"  415,412.27 ",-, - ,"  415,417.13 ",Large Cap
17,Sun Pharmaceutical Industries Ltd.,INE044A01036,SUNPHARMA,"  404,420.99 ",SUNPHARMA,"  404,406.96 ",-, - ,"  404,413.97 ",Large Cap
18,AXIS Bank Ltd.,INE238A01034,AXISBANK,"  363,130.14 ",AXISBANK,"  363,033.27 ",-, - ,"  363,081.70 ",Large Cap
19,UltraTech Cement Ltd,INE481G01011,ULTRACEMCO,"  358,018.85 ",ULTRACEMCO,"  358,045.48 ",-, - ,"  358,032.16 ",Large Cap
20,Bajaj Finserv Limited,INE918I01026,BAJAJFINSV,"  324,489.30 ",BAJAJFINSV,"  324,505.59 ",-, - ,"  324,497.45 ",Large Cap
21,Titan Company Limited,INE280A01028,TITAN,"  323,564.13 ",TITAN,"  323,613.06 ",-, - ,"  323,588.60 ",Large Cap
22,NTPC Limited,INE733E01010,NTPC,"  323,250.29 ",NTPC,"  323,233.75 ",-, - ,"  323,242.02 ",Large Cap
23,Hindustan Aeronautics Limited,INE066F01020,HAL,"  309,430.25 ",HAL,"  309,448.61 ",-, - ,"  309,439.43 ",Large Cap
24,Adani Ports and Special Economic Zone Ltd,INE742F01042,ADANIPORTS,"  308,622.99 ",ADANIPORTS,"  308,664.31 ",-, - ,"  308,643.65 ",Large Cap
25,Oil And Natural Gas Corporation Ltd,INE213A01029,ONGC,"  303,870.15 ",ONGC,"  303,876.34 ",-, - ,"  303,873.25 ",Large Cap
26,Eternal Limited,INE758T01015,ETERNAL,"  297,118.98 ",ETERNAL,"  297,138.51 ",-, - ,"  297,128.74 ",Large Cap
27,Bharat Electronics Ltd.,INE263A01024,BEL,"  293,001.17 ",BEL,"  293,011.61 ",-, - ,"  293,006.39 ",Large Cap
28,Adani Enterprises Ltd.,INE423A01024,ADANIENT,"  284,353.71 ",ADANIENT,"  279,044.81 ",-, - ,"  281,699.26 ",Large Cap
29,Avenue Supermarts Limited,INE192R01011,DMART,"  275,699.87 ",DMART,"  275,707.96 ",-, - ,"  275,703.92 ",Large Cap
30,JSW Steel Limited,INE019A01038,JSWSTEEL,"  270,427.03 ",JSWSTEEL,"  270,419.85 ",-, - ,"  270,423.44 ",Large Cap
31,Adani Power Limited,INE814H01029,ADANIPOWER,"  264,347.71 ",ADANIPOWER,"  264,360.10 ",-, - ,"  264,353.91 ",Large Cap
