Fund Name,Plan,VR ID,ISIN,Company Name,Sector,P/E Ratio,% Assets
ABSL Income Plus Arbitrage Active FoF Reg*,Regular,4018,#N/A,Aditya Birla SL Arbitrage Direct-G,Unspecified,--,37.36
ABSL Transportation And Logistics Reg,Regular,43828,#N/A,Adani Ports,Industrials,32.78,4.02
ABSL Transportation And Logistics Reg,Regular,43828,#N/A,Tata Motors,Industrials,44.35,3.53
ABSL Transportation And Logistics Reg,Regular,43828,#N/A,SEDEMAC Mechatronics,Industrials,108.41,3.89
ABSL Transportation And Logistics Reg,Regular,43828,#N/A,Minda,Consumer Discretionary,42.97,4.09
ABSL Transportation And Logistics Reg,Regular,43828,#N/A,Interglobe Aviation,Industrials,--,4.8
ABSL Transportation And Logistics Reg,Regular,43828,#N/A,TVS Motor,Consumer Discretionary,52.55,4.96
ABSL Transportation And Logistics Reg,Regular,43828,#N/A,Samvardhana Motherson,Consumer Discretionary,38.86,5.06
ABSL Transportation And Logistics Reg,Regular,43828,#N/A,Maruti Suzuki,Consumer Discretionary,28.01,7.61
ABSL Transportation And Logistics Reg,Regular,43828,#N/A,Eternal,Technology,631.76,7.71
ABSL Transportation And Logistics Reg,Regular,43828,#N/A,Mahindra & Mahindra,Consumer Discretionary,21.47,13.37
ABSL US Treasury 1-3 Year Bonds ETFs Passive FoF Reg*,Regular,43822,INF209KB13W4,--,--,--,--
ABSL US Treasury 3-10 Year Bonds ETFs Passive FoF Reg*,Regular,43818,INF209KB19W1,--,--,--,--
Axis Income Plus Arbitrage Active FoF Reg*,Regular,40518,#N/A,Aditya Birla SL Arbitrage Direct-G,Unspecified,--,19.05
Axis Income Plus Arbitrage Active FoF Reg*,Regular,40518,#N/A,Axis Arbitrage Direct-G,Unspecified,--,25.2
Axis Income Plus Arbitrage Passive FoF Reg*,Regular,45572,#N/A,Axis Arbitrage Direct-G,Unspecified,--,36.4
Axis US Specific Treasury Dynamic Debt Passive FoF Reg*,Regular,43976,INF846K013T8,--,--,--,--
Bandhan Income Plus Arbitrage Active FoF Reg,Regular,2364,#N/A,Bandhan Arbitrage Direct-G,Unspecified,--,40.98
Bandhan Transportation and Logistics Reg,Regular,42623,#N/A,Hero Motocorp,Consumer Discretionary,16.92,5.52
Bandhan Transportation and Logistics Reg,Regular,42623,#N/A,Maruti Suzuki,Consumer Discretionary,28.01,9.46
Bandhan Transportation and Logistics Reg,Regular,42623,#N/A,Mahindra & Mahindra,Consumer Discretionary,21.47,9.14
Bandhan Transportation and Logistics Reg,Regular,42623,#N/A,Bosch,Consumer Discretionary,40.19,5.22
Bandhan Transportation and Logistics Reg,Regular,42623,#N/A,Samvardhana Motherson,Consumer Discretionary,38.86,5.03
