Fund Name,ISIN,Scheme Code,Category,Subcategory,Holdings Type,Company Name,Sector,P/E Ratio,Instrument,Credit Rating,% of Assets
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,GE Vernova T&D,Industrials,111.6,,,5.26
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,ICICI Bank,Financial,17.8,,,4.84
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,Axis Bank,Financial,15.95,,,3.87
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,Indus Towers,Technology,15.22,,,3.85
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,Kotak Bank,Financial,20.63,,,3.79
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,Premier Energies,Energy & Utilities,32.17,,,3.41
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,Cholamandalam Inv,Financial,27.55,,,3.36
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,Eternal,Technology,688.71,,,3.18
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,Tata Motors,Industrials,48.67,,,2.99
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,Bharti Airtel,Technology,43.19,,,2.89
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,MCX,Financial,53.17,,,2.8
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,The Indian Hotels,Consumer Discretionary,49.43,,,2.79
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,Motherson Wiring,Industrials,40.1,,,2.57
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,CG Power,Industrials,125.19,,,2.55
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,Bajaj Finance,Financial,31.57,,,2.48
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,Shriram Finance,Financial,23.5,,,2.27
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,Emmvee Photovoltaic Power,Energy & Utilities,21.37,,,2.2
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,Varun Beverages,Consumer Staples,56.66,,,2.12
360 ONE Flexicap Dir,INF579M01AS1,151796,commodity,Commodities: Silver,Equity,Onesource Specialty Pharma,Healthcare,,,,1.98
