Fund Name,Scheme Code,ISIN (Growth / Div Payout),ISIN (Div Reinvestment),Category,Subcategory,Company Name,Sector,P/E Ratio,% of Assets
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,HDFC Bank,Financial,16.18,10.51
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,ICICI Bank,Financial,17.77,8.28
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Reliance Ind,Energy & Utilities,22.24,8.23
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Bharti Airtel,Technology,42.8,5.05
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Larsen & Toubro,Industrials,35.84,4.41
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Infosys,Technology,15.54,3.75
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,SBI,Financial,11.56,3.69
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Axis Bank,Financial,16.04,3.4
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Kotak Bank,Financial,20.78,2.61
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,ITC,Consumer Staples,17.63,2.55
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Mahindra & Mahindra,Consumer Discretionary,22.84,2.51
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Bajaj Finance,Financial,31.4,2.24
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Tata Consultancy,Technology,16.21,2.13
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Hindustan Unilever,Consumer Staples,34.66,1.76
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Sun Pharmaceutical,Healthcare,38.12,1.76
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,NTPC,Energy & Utilities,12.98,1.69
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Eternal,Technology,681.59,1.66
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Tata Steel,Materials,23.19,1.59
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Maruti Suzuki,Consumer Discretionary,28.87,1.58
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Titan,Consumer Discretionary,76.76,1.55
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Hindalco Ind,Materials,16.93,1.5
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Bharat Electronics,Industrials,51.68,1.36
360 ONE ELSS Tax Saver Nifty 50 Index Dir,151165,INF579M01AN2,-,equity,equity,Ultratech Cement,Materials,41.26,1.25
