Stock_Name,Symbol,ISIN,BSE_Code,Sector,Industry,Market_Cap(crores),Market_Cap_Category,Star_Rating,Quality_Score,Growth_Score,Valuation_Score,Momentum_Score,ROE,ROCE,ROA,Operating_Margin,Net_Margin,Revenue_Growth_1Y,Revenue_Growth_3Y,Revenue_Growth_5Y,Profit_Growth_1Y,Profit_Growth_3Y,Profit_Growth_5Y,EPS_Growth,PE,Industry_PE,PB,PEG,Dividend_Yield,Debt_Equity,Piotroski_Score,Return_1M,Return_6M,Return_1Y,Return_3Y,Return_5Y,Beta,Volatility,Promoter_Holding,FII_Holding,DII_Holding,VRO_URL,Revenue_Score,Profit_Score,Fund_Quality_Score,Profitability_Score,Financial_Strength_Score,Fund_Valuation_Score,Fundamental_Available_Max,Fundamental_Raw_Score,Fundamental_Data_Available,Fundamental_Score,VR_Available_Weight,VR_Raw_Weighted_Score,VR_Score,VR_Data_Available,Final_Stock_Score,Final_Rating,Confidence_Level
Morarjee Textiles Limited,MORARJEE,INE161G01027,532621,Consumer Cyclical,Textile Manufacturing,33,Small Cap,,,,,,0,-31.6,-42.6,-133.3,-609.09,-84.1,-44.7,-37.7,-21.5,-200.3,-241,-8.6,,66.67,,,0,0,1,-7.05,21.39,7.03,-22.2,-13.56,0.383,52.51,,,,https://www.valueresearchonline.com/stocks/45772/morarjee-textiles-ltd/,5,5,5,5,15,,100,35,High,35,0,0,0,None,35,Poor,Medium
Star Health and Allied Insurance Company Limited,STARHEALTH,INE575P01011,543412,Financial Services,Insurance—Life,33934,Small Cap,,,,,,9.7,12,2.5,-2.9,3.36,12,13.8,,-13.8,-3.4,19.7,-14,60.9,21.53,4.5,,0,0.1,4,10.38,26.45,34.87,1.59,,0.479,23.45,57.98,15.06,8.37,https://www.valueresearchonline.com/stocks/289559/star-health-and-allied-insurance-company-ltd/,,20,5,5,15,7,95,52,High,54.74,0,0,0,None,54.74,Average,Medium
Stel Holdings Limited,STEL,INE577L01016,533316,Financial Services,Asset Management,1104,Small Cap,3,7,6,3,9,1,1.3,1.1,97.1,74.07,23.2,16.3,16.3,23.2,16.3,16.3,26.6,55.6,28.36,0.7,2.09,0,0,5,34.66,38.19,45.17,62.02,40.02,1.158,49.53,71.66,0.01,0.09,https://www.valueresearchonline.com/stocks/187527/stel-holdings-ltd/,20,20,5,20,15,15,115,95,High,82.61,1,60.5,60.5,High,74.87,Good,High
Lovable Lingerie Limited,LOVABLE,INE597L01014,533343,Consumer Cyclical,Apparel Manufacturing,108,Small Cap,,,,,,1,-1.9,3.8,-9.6,7.14,0,-23.8,-12.2,436.2,389.8,63.8,540.1,13.5,148.75,0.6,0.02,0,0,3,2.32,0.3,-24.53,-14.49,-9.77,1.12,39.37,63.05,0,0,https://www.valueresearchonline.com/stocks/45519/lovable-lingerie-ltd/,5,20,5,5,15,15,115,65,High,56.52,0,0,0,None,56.52,Average,Medium
Tankup Engineers Limited,TANKUP,INE0Z7N01017,,Industrials,Engineering Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Maxvolt Energy Industries Limited,MAXVOLT,INE10A501018,,Industrials,Battery & Energy Systems,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Chalet Hotels Limited,CHALET,INE427F01016,542399,Consumer Cyclical,Lodging,17928,Small Cap,,6,7,5,3,5.9,11.4,9,34.6,23.29,61.2,34.9,57.4,353,63.1,46.9,352,27.8,31.59,4.8,0.08,0.2,0.5,5,3.01,-8.38,-9.21,26.21,35.79,1.163,28.76,67.29,4.71,1.85,https://www.valueresearchonline.com/stocks/41541/chalet-hotels-ltd/,20,20,12,20,11,15,115,98,High,85.22,0.6,33,55,Medium,74.64,Good,High
Lotus Eye Hospital and Institute Limited,LOTUSEYE,INE947I01017,532998,Healthcare,Medical Care Facilities,262,Small Cap,,,,,,1.2,3.1,0.1,-0.7,0,8.4,4.5,10.7,-88.9,-72.8,-43.9,-89.1,3236.3,3236.27,4.4,,0,0.2,4,14.5,2.46,78.14,14.77,19.04,0.914,49.39,37.39,0,0,https://www.valueresearchonline.com/stocks/43101/lotus-eye-hospital-and-institute-ltd/,15,5,5,5,15,3,115,48,High,41.74,0,0,0,None,41.74,Average,Medium
Mangalore Refinery and Petrochemicals Limited,MRPL,INE103A01014,500109,Energy,Oil & Gas Refining & Marketing,27008,Small Cap,,1,6,7,6,0.4,4.4,4.9,4.5,1.83,-3.8,-5.5,15.6,3323.9,-10.2,40,3324.2,14,14.03,1.9,0,0,0.6,4,3.32,1.66,8.6,26.14,24.26,1.051,46.67,88.58,3.41,0.06,https://www.valueresearchonline.com/stocks/43208/mangalore-refinery-and-petrochemicals-ltd/,20,20,5,5,15,15,115,80,High,69.57,0.6,27.5,45.83,Medium,61.26,Good,High
Sri Lotus Developers and Realty Limited,LOTUSDEV,INE0V9Q01010,544469,Industrials,Engineering & Construction,7343,Small Cap,,5,7,7,8,41.4,37.8,20.7,36.3,30.82,39.9,75,,4.3,138.6,,-8.6,31,22.69,3.8,,0.3,0,5,8.5,-11.75,,,,1.416,41.81,81.87,1,0.78,https://www.valueresearchonline.com/stocks/367198/sri-lotus-developers-and-realty-ltd/,,,25,20,15,11,75,71,Medium,94.67,0.6,39,65,Medium,84.29,Excellent,High
