Date,Price,Change %
01-06-2026,"22,437.95",-0.97%
29-05-2026,"22,657.00",-1.35%
27-05-2026,"22,967.40",0.31%
26-05-2026,"22,897.20",-0.14%
25-05-2026,"22,929.45",1.23%
22-05-2026,"22,651.30",0.21%
21-05-2026,"22,602.85",0.11%
20-05-2026,"22,578.15",0.25%
19-05-2026,"22,521.75",0.27%
18-05-2026,"22,461.05",-0.31%
15-05-2026,"22,531.15",-0.36%
14-05-2026,"22,613.10",1.05%
13-05-2026,"22,377.35",0.35%
12-05-2026,"22,299.90",-2.18%
11-05-2026,"22,795.75",-1.38%
08-05-2026,"23,115.65",-0.42%
07-05-2026,"23,214.00",0.35%
06-05-2026,"23,133.40",1.43%
05-05-2026,"22,808.25",-0.10%
04-05-2026,"22,830.75",0.65%
30-04-2026,"22,683.55",-0.82%
29-04-2026,"22,871.00",0.46%
28-04-2026,"22,765.60",-0.24%
27-04-2026,"22,821.40",1.11%
24-04-2026,"22,570.05",-1.06%
23-04-2026,"22,810.85",-0.79%
22-04-2026,"22,991.50",-0.22%
21-04-2026,"23,042.35",0.77%
20-04-2026,"22,865.80",-0.02%
17-04-2026,"22,869.40",0.94%
16-04-2026,"22,656.30",0.27%
15-04-2026,"22,595.55",1.88%
13-04-2026,"22,179.05",-0.75%
10-04-2026,"22,346.75",1.40%
09-04-2026,"22,037.50",-0.45%
08-04-2026,"22,137.10",3.95%
07-04-2026,"21,296.45",0.48%
06-04-2026,"21,194.05",1.22%
02-04-2026,"20,938.35",0.02%
01-04-2026,"20,935.15",1.98%
30-03-2026,"20,528.05",-2.34%
27-03-2026,"21,020.15",-2.13%
25-03-2026,"21,478.20",1.95%
24-03-2026,"21,067.00",1.95%
23-03-2026,"20,664.25",-3.11%
20-03-2026,"21,327.90",0.48%
19-03-2026,"21,225.80",-3.16%
18-03-2026,"21,917.40",1.14%
17-03-2026,"21,669.30",0.79%
16-03-2026,"21,498.80",0.50%
13-03-2026,"21,391.20",-2.31%
12-03-2026,"21,897.50",-0.66%
11-03-2026,"22,042.30",-1.35%
10-03-2026,"22,342.95",1.30%
09-03-2026,"22,056.55",-1.89%
06-03-2026,"22,481.30",-0.95%
05-03-2026,"22,697.80",1.29%
04-03-2026,"22,409.80",-1.87%
02-03-2026,"22,835.95",-1.43%
27-02-2026,"23,166.85",-1.20%
